"ISO_2","ISO_3","country","year","machines_cost_recovery","buildings_cost_recovery","intangibles_cost_recovery"
"AU","AUS","Australia",2014,0.851484971473245,0.479318672008477,0.547953910556565
"AU","AUS","Australia",2015,0.851484971473245,0.479318672008477,0.547953910556565
"AU","AUS","Australia",2016,0.851484971473245,0.479318672008477,0.547953910556565
"AU","AUS","Australia",2017,0.851484971473245,0.479318672008477,0.547953910556565
"AU","AUS","Australia",2018,0.851484971473245,0.479318672008477,0.547953910556565
"AU","AUS","Australia",2019,0.851484971473245,0.479318672008477,0.547953910556565
"AU","AUS","Australia",2020,0.851484971473245,0.479318672008477,0.547953910556565
"AU","AUS","Australia",2021,0.851484971473245,0.479318672008477,0.547953910556565
"AU","AUS","Australia",2022,0.851484971473245,0.479318672008477,0.547953910556565
"AU","AUS","Australia",2023,0.851484971473245,0.479318672008477,0.547953910556565
"AU","AUS","Australia",2024,0.851484971473245,0.479318672008477,0.547953910556565
"AT","AUT","Austria",2014,0.813463195231154,0.391406012913837,0.737888702767901
"AT","AUT","Austria",2015,0.813463195231154,0.391406012913837,0.737888702767901
"AT","AUT","Austria",2016,0.813463195231154,0.338474732816403,0.737888702767901
"AT","AUT","Austria",2017,0.813463195231154,0.338474732816403,0.737888702767901
"AT","AUT","Austria",2018,0.813463195231154,0.338474732816403,0.737888702767901
"AT","AUT","Austria",2019,0.813463195231154,0.338474732816403,0.737888702767901
"AT","AUT","Austria",2020,0.884365027341364,0.338474732816403,0.737888702767901
"AT","AUT","Austria",2021,0.884365027341364,0.338474732816403,0.737888702767901
"AT","AUT","Austria",2022,0.884365027341364,0.338474732816403,0.737888702767901
"AT","AUT","Austria",2023,0.884365027341364,0.338474732816403,0.737888702767901
"AT","AUT","Austria",2024,0.884365027341364,0.338474732816403,0.737888702767901
"BE","BEL","Belgium",2014,0.875897349190039,0.622404878792567,1.00486525392967
"BE","BEL","Belgium",2015,0.875897349190039,0.622404878792567,1.00486525392967
"BE","BEL","Belgium",2016,0.875897349190039,0.622404878792567,1.00486525392967
"BE","BEL","Belgium",2017,0.875897349190039,0.622404878792567,1.00486525392967
"BE","BEL","Belgium",2018,0.875897349190039,0.622404878792567,1.06986525392967
"BE","BEL","Belgium",2019,0.875897349190039,0.622404878792567,1.06986525392967
"BE","BEL","Belgium",2020,0.737888702767901,0.547953910556565,1.00486525392967
"BE","BEL","Belgium",2021,0.869865253929667,0.547953910556565,0.869865253929667
"BE","BEL","Belgium",2022,0.869865253929667,0.547953910556565,0.869865253929667
"BE","BEL","Belgium",2023,0.869865253929667,0.547953910556565,0.869865253929667
"BE","BEL","Belgium",2024,0.869865253929667,0.547953910556565,0.869865253929667
"CA","CAN","Canada",2014,0.965116279069767,0.614285714285714,0.43
"CA","CAN","Canada",2015,0.965116279069767,0.614285714285714,0.43
"CA","CAN","Canada",2016,0.965116279069767,0.614285714285714,0.43
"CA","CAN","Canada",2017,0.965116279069767,0.614285714285714,0.43
"CA","CAN","Canada",2018,0.965116279069767,0.614285714285714,0.43
"CA","CAN","Canada",2019,1,0.635714285714286,0.518965517241379
"CA","CAN","Canada",2020,1,0.635714285714286,0.518965517241379
"CA","CAN","Canada",2021,1,0.635714285714286,0.518965517241379
"CA","CAN","Canada",2022,1,0.635714285714286,0.518965517241379
"CA","CAN","Canada",2023,1,0.635714285714286,0.518965517241379
"CA","CAN","Canada",2024,0.996511627906977,0.625,0.518965517241379
"CH","CHE","Switzerland",2014,0.86,0.554838709677419,0.905263157894737
"CH","CHE","Switzerland",2015,0.86,0.554838709677419,0.905263157894737
"CH","CHE","Switzerland",2016,0.86,0.554838709677419,0.905263157894737
"CH","CHE","Switzerland",2017,0.86,0.554838709677419,0.905263157894737
"CH","CHE","Switzerland",2018,0.86,0.554838709677419,0.905263157894737
"CH","CHE","Switzerland",2019,0.86,0.554838709677419,0.905263157894737
"CH","CHE","Switzerland",2020,0.86,0.554838709677419,0.905263157894737
"CH","CHE","Switzerland",2021,0.86,0.554838709677419,0.905263157894737
"CH","CHE","Switzerland",2022,0.86,0.554838709677419,0.905263157894737
"CH","CHE","Switzerland",2023,0.86,0.554838709677419,0.905263157894737
"CH","CHE","Switzerland",2024,0.86,0.554838709677419,0.905263157894737
"CL","CHL","Chile",2014,0.632611659769417,0.338474732816403,0
"CL","CHL","Chile",2015,0.632611659769417,0.338474732816403,0
"CL","CHL","Chile",2016,0.632611659769417,0.338474732816403,0
"CL","CHL","Chile",2017,0.632611659769417,0.338474732816403,0
"CL","CHL","Chile",2018,0.632611659769417,0.338474732816403,0
"CL","CHL","Chile",2019,0.632611659769417,0.338474732816403,0
"CL","CHL","Chile",2020,1,1,1
"CL","CHL","Chile",2021,1,1,1
"CL","CHL","Chile",2022,1,1,1
"CL","CHL","Chile",2023,0.632611659769417,0.338474732816403,0
"CL","CHL","Chile",2024,0.632611659769417,0.338474732816403,0
"CO","COL","Colombia",2014,0.737888702767901,0.547953910556565,0.869865253929667
"CO","COL","Colombia",2015,0.737888702767901,0.547953910556565,0.869865253929667
"CO","COL","Colombia",2016,0.737888702767901,0.547953910556565,0.869865253929667
"CO","COL","Colombia",2017,0.737888702767901,0.305956530933891,0.869865253929667
"CO","COL","Colombia",2018,0.737888702767901,0.305956530933891,0.869865253929667
"CO","COL","Colombia",2019,0.737888702767901,0.305956530933891,0.869865253929667
"CO","COL","Colombia",2020,0.737888702767901,0.305956530933891,0.869865253929667
"CO","COL","Colombia",2021,0.737888702767901,0.305956530933891,0.869865253929667
"CO","COL","Colombia",2022,0.737888702767901,0.305956530933891,0.869865253929667
"CO","COL","Colombia",2023,0.737888702767901,0.305956530933891,0.869865253929667
