"ISO_2","ISO_3","country","year","vat_rate","vat_threshold","vat_base"
"IS","ISL","Iceland",2019,24,14202.1555989162,0.574136593542137
"IS","ISL","Iceland",2020,24,14184.3971631206,0.524679461355533
"IE","IRL","Ireland",2014,23,78844.2561518391,0.442784429671111
"IE","IRL","Ireland",2015,23,78844.2561518391,0.446732914217138
"IE","IRL","Ireland",2016,23,88339.222614841,0.484342527005503
"IE","IRL","Ireland",2017,23,88339.222614841,0.484759438197319
"IE","IRL","Ireland",2018,23,92218.141398691,0.498533689864113
"IE","IRL","Ireland",2019,23,92218.141398691,0.482822910673702
"IE","IRL","Ireland",2020,23,95907.9283887468,0.491819728201904
"IL","ISR","Israel",2014,18,18611.874917961,0.641137369599031
"IL","ISR","Israel",2015,18,18611.874917961,0.643168703186387
"IL","ISR","Israel",2016,17,25517.0103092784,0.627506880135321
"IL","ISR","Israel",2017,17,25517.0103092784,0.624583395914838
"IL","ISR","Israel",2018,17,26132.3890060412,0.632540965239364
"IL","ISR","Israel",2019,17,26132.3890060412,0.625631937197765
"IL","ISR","Israel",2020,17,26941.2868632708,0.632412040044468
"IT","ITA","Italy",2014,22,35990.6737367146,0.377536066235929
"IT","ITA","Italy",2015,22,35990.6737367146,0.371966228788423
"IT","ITA","Italy",2016,22,40000,0.36700953480722
"IT","ITA","Italy",2017,22,40000,0.377371504948421
"IT","ITA","Italy",2018,22,90380.9627102053,0.378756793044304
"IT","ITA","Italy",2019,22,90380.9627102053,0.387579120275391
"IT","ITA","Italy",2020,22,96296.2962962963,0.384489591985391
"JP","JPN","Japan",2014,5,88240.3441644497,0.681897463002114
"JP","JPN","Japan",2015,8,88240.3441644497,0.694471493946579
"JP","JPN","Japan",2016,8,94939.7132820659,0.687590467820163
"JP","JPN","Japan",2017,8,94939.7132820659,0.728203213265697
"JP","JPN","Japan",2018,8,100407.568377102,0.7125070110352
"JP","JPN","Japan",2019,8,100407.568377102,0.717716684683885
"JP","JPN","Japan",2020,10,97087.3786407767,0.721711144874476
"KR","KOR","Korea",2014,10,26238.6011968703,0.687992375382104
"KR","KOR","Korea",2015,10,26238.6011968703,0.669242863881629
"KR","KOR","Korea",2016,10,26928.4712482468,0.692071068967643
"KR","KOR","Korea",2017,10,26928.4712482468,0.636067104540328
"KR","KOR","Korea",2018,10,34205.4862364084,0.696451079081173
"KR","KOR","Korea",2019,10,34205.4862364084,0.68758794691922
"KR","KOR","Korea",2020,10,35294.1176470588,0.681773559935852
"LV","LVA","Latvia",2014,21,100402,0.458705563198266
"LV","LVA","Latvia",2015,21,100604,0.491648758644068
"LV","LVA","Latvia",2016,21,98619.3293885602,0.506100728664033
"LV","LVA","Latvia",2017,21,98619.3293885602,0.520651810028962
"LV","LVA","Latvia",2018,21,79773.9207087115,0.55204813174365
"LV","LVA","Latvia",2019,21,79773.9207087115,0.549340919945821
"LV","LVA","Latvia",2020,21,80645.1612903226,0.583308603828106
"LT","LTU","Lithuania",2014,21,101580,0.498502446211909
"LT","LTU","Lithuania",2015,21,100897,0.495247563296456
"LT","LTU","Lithuania",2016,21,100671,0.504643678661337
"LT","LTU","Lithuania",2017,21,100223,0.509204814364489
"LT","LTU","Lithuania",2018,21,97563.0907987165,0.506629640715944
"LT","LTU","Lithuania",2019,21,97563.0907987165,0.52791675026186
"LT","LTU","Lithuania",2020,21,99337.7483443709,0.525382701464273
"LU","LUX","Luxembourg",2014,15,25182.6246203907,1.11024163940386
"LU","LUX","Luxembourg",2015,17,25182.6246203907,1.16594129773046
"LU","LUX","Luxembourg",2016,17,27777.7777777778,1.2474565313124
"LU","LUX","Luxembourg",2017,17,27777.7777777778,0.955762392001671
"LU","LUX","Luxembourg",2018,17,33690.3764562665,0.920716527656256
"LU","LUX","Luxembourg",2019,17,33690.3764562665,0.875350261015676
"LU","LUX","Luxembourg",2020,17,35087.7192982456,0.908029447826569
"MX","MEX","Mexico",2014,16,0,0.313908829864471
"MX","MEX","Mexico",2015,16,0,0.284151078536842
"MX","MEX","Mexico",2016,16,0,0.321338552498364
"MX","MEX","Mexico",2017,16,0,0.321940337203395
"MX","MEX","Mexico",2018,16,0,0.334129712488695
"MX","MEX","Mexico",2019,16,0,0.318108701240359
"MX","MEX","Mexico",2020,16,0,0.338391775002841
"NL","NLD","Netherlands",2014,21,1537.1932964077,0.515894956319228
"NL","NLD","Netherlands",2015,21,1537.1932964077,0.471629156117989
"NL","NLD","Netherlands",2016,21,1620.48192771084,0.468596681969462
"NL","NLD","Netherlands",2017,21,1620.48192771084,0.487597335581894
"NL","NLD","Netherlands",2018,21,1650.19336094698,0.514299988155268
"NL","NLD","Netherlands",2019,21,1650.19336094698,0.519348068257175
"NL","NLD","Netherlands",2020,21,25380.7106598985,0.525908901692046
"NZ","NZL","New Zealand",2014,15,38134.0006652947,0.928515696663064
"NZ","NZL","New Zealand",2015,15,38134.0006652947,0.933812450268339
"NZ","NZL","New Zealand",2016,15,40816.3265306122,0.949343370156744
"NZ","NZL","New Zealand",2017,15,40816.3265306122,0.95932608776232
"NZ","NZL","New Zealand",2018,15,40813.1614282974,0.95224411225627
"NZ","NZL","New Zealand",2019,15,40813.1614282974,0.985858115579352
"NZ","NZL","New Zealand",2020,15,41379.3103448276,0.988738942728618
"NO","NOR","Norway",2014,25,5181.61744007035,0.568554851515383
"NO","NOR","Norway",2015,25,5181.61744007035,0.568934662633885
