"ISO_2","ISO_3","Country","Year","Final Rank","Final Score","Corporate Rank","Corporate Score","Income Rank","Income Score","Consumption Rank","Consumption Score","Property Rank","Property Score","International Rank","International Score"
"DE","DEU","Germany",2014,13,68.6612236630807,27,58.460099870058,26,57.8620789962901,11,69.5090687789709,10,71.6221066617251,11,75.6523410026316
"DE","DEU","Germany",2015,14,68.8198447915243,25,54.7950990131695,27,57.2374102632525,10,69.7213590917938,10,71.8481630183244,11,76.2165176274363
"DE","DEU","Germany",2016,14,68.2169187658354,23,53.7423753833063,26,57.5953505515642,10,68.6092386888617,10,72.1718549768296,11,77.9383030640018
"DE","DEU","Germany",2017,14,66.2157325325333,25,56.7026900495368,27,53.0425368656322,11,69.1787680045987,10,71.8609430688269,10,77.7156780416736
"DE","DEU","Germany",2018,15,65.7013096835347,25,49.9532076625595,27,56.760292119355,12,69.9403603778078,11,71.6711405366092,9,77.7644876849137
"DE","DEU","Germany",2019,13,67.9383826916678,27,50.3239840493255,27,58.314681202223,10,75.6771656663385,11,70.9780994417055,7,91.0513282618583
"DE","DEU","Germany",2020,15,67.7093067062576,29,49.9492515002751,25,50.4572646983804,12,74.7118557954072,11,71.2433421780145,7,91.2056680881678
